,sub,movie,recall_raw,recall_filtered,filtered_length,filtered_length_scaled,lure,old,dprime,bias
0,e152005,1.2.3," This woman walked into a room with a table on one side, open floor space, and a shelf on the other side of the room. There was also a big window with a ledge. She cleared the table, removing a vase of flowers and other items that were on it, and cleaned using a towel and some surface cleaning spray. She then put the things back on the table and opened a granola bar that was on the window ledge. She ate the bar, and as she ate it, she read the ingredients/nutrition facts on the wrapper, took another bite, then went back to reading it. Once she was done with it, she opened a bottle of a blue drinka nd began drinking that. She did the same as with the bar, reading the label on the bottle as she drank it. She then closed it (it was not finished), put it back on the ledge, and picked up a pair of dumbells. She did alternating bicep curls, 10 with each arm, then with both arms at the same time. She then did other excercises which i don't remember, then 2 rounds of 25 jumping jacks.","['this', 'woman', 'walked', 'into', 'a', 'room', 'with', 'a', 'table', 'on', 'one', 'side', 'open', 'floor', 'space', 'and', 'a', 'shelf', 'on', 'the', 'other', 'side', 'of', 'the', 'room', 'there', 'was', 'also', 'a', 'big', 'window', 'with', 'a', 'ledge', 'she', 'cleared', 'the', 'table', 'removing', 'a', 'vase', 'of', 'flowers', 'and', 'other', 'items', 'that', 'were', 'on', 'it', 'and', 'cleaned', 'using', 'a', 'towel', 'and', 'some', 'surface', 'cleaning', 'spray', 'she', 'then', 'put', 'the', 'things', 'back', 'on', 'the', 'table', 'and', 'opened', 'a', 'granola', 'bar', 'that', 'was', 'on', 'the', 'window', 'ledge', 'she', 'ate', 'the', 'bar', 'and', 'as', 'she', 'ate', 'it', 'she', 'read', 'the', 'ingredientsnutrition', 'facts', 'on', 'the', 'wrapper', 'took', 'another', 'bite', 'then', 'went', 'back', 'to', 'reading', 'it', 'once', 'she', 'was', 'done', 'with', 'it', 'she', 'opened', 'a', 'bottle', 'of', 'a', 'blue', 'drinka', 'nd', 'began', 'drinking', 'that', 'she', 'did', 'the', 'same', 'as', 'with', 'the', 'bar', 'reading', 'the', 'label', 'on', 'the', 'bottle', 'as', 'she', 'drank', 'it', 'she', 'then', 'closed', 'it', 'it', 'was', 'not', 'finished', 'put', 'it', 'back', 'on', 'the', 'ledge', 'and', 'picked', 'up', 'a', 'pair', 'of', 'dumbells', 'she', 'did', 'alternating', 'bicep', 'curls', 'with', 'each', 'arm', 'then', 'with', 'both', 'arms', 'at', 'the', 'same', 'time', 'she', 'then', 'did', 'other', 'excercises', 'which', 'i', 'dont', 'remember', 'then', 'rounds', 'of', 'jumping', 'jacks']",193,0.6060463860407932,0.55,0.8947368421052632,1.3777808671202938,-0.5632290867050727
1,e152005,6.3.9,"This actor was folding laundry in the video. He first brought the baskets of laundry out from under the bed and emptied them on top of the bed. He then folded the shirts first and set them in neat piles. Once the shirts were done, he folded pants and set them in a pile as well. When he was done with all of the slothes, he put them, folded, back into the laundry baskets and pushed the baskets back under the bed. [I meant to delete this part] >> ed. s actor was preparing a smoothie in this video.","['this', 'actor', 'was', 'folding', 'laundry', 'in', 'the', 'video', 'he', 'first', 'brought', 'the', 'baskets', 'of', 'laundry', 'out', 'from', 'under', 'the', 'bed', 'and', 'emptied', 'them', 'on', 'top', 'of', 'the', 'bed', 'he', 'then', 'folded', 'the', 'shirts', 'first', 'and', 'set', 'them', 'in', 'neat', 'piles', 'once', 'the', 'shirts', 'were', 'done', 'he', 'folded', 'pants', 'and', 'set', 'them', 'in', 'a', 'pile', 'as', 'well', 'when', 'he', 'was', 'done', 'with', 'all', 'of', 'the', 'slothes', 'he', 'put', 'them', 'folded', 'back', 'into', 'the', 'laundry', 'baskets', 'and', 'pushed', 'the', 'baskets', 'back', 'under', 'the', 'bed', 'i', 'meant', 'to', 'delete', 'this', 'part', 'ed', 's', 'actor', 'was', 'preparing', 'a', 'smoothie', 'in', 'this', 'video']",98,-0.33020380465971416,0.5,0.9047619047619048,1.309171716785777,-0.6545858583928885
2,e152005,3.1.3,"This actor was preparing breakfast in the video. There was a counter on one side of the kitchen and a fridge, stove, cabinets, and some counter on the right side. He first got out a plate and some mandarin oranges. He then peeled the orange all in one piece and set it on the plate. After that, he got out a bagel and put it in the toaster. When it was finshed, he put cream cheese on it and also set it on the plate. Last, he got a bowl, milk, and a bag of cereal. He poured the cereal into the bowl then pured milk on top of it, then poured a separate glass of milk. He set the bowl on top of the plate, picked it up as well as the glass of milk, and left the kitchen. ","['this', 'actor', 'was', 'preparing', 'breakfast', 'in', 'the', 'video', 'there', 'was', 'a', 'counter', 'on', 'one', 'side', 'of', 'the', 'kitchen', 'and', 'a', 'fridge', 'stove', 'cabinets', 'and', 'some', 'counter', 'on', 'the', 'right', 'side', 'he', 'first', 'got', 'out', 'a', 'plate', 'and', 'some', 'mandarin', 'oranges', 'he', 'then', 'peeled', 'the', 'orange', 'all', 'in', 'one', 'piece', 'and', 'set', 'it', 'on', 'the', 'plate', 'after', 'that', 'he', 'got', 'out', 'a', 'bagel', 'and', 'put', 'it', 'in', 'the', 'toaster', 'when', 'it', 'was', 'finshed', 'he', 'put', 'cream', 'cheese', 'on', 'it', 'and', 'also', 'set', 'it', 'on', 'the', 'plate', 'last', 'he', 'got', 'a', 'bowl', 'milk', 'and', 'a', 'bag', 'of', 'cereal', 'he', 'poured', 'the', 'cereal', 'into', 'the', 'bowl', 'then', 'pured', 'milk', 'on', 'top', 'of', 'it', 'then', 'poured', 'a', 'separate', 'glass', 'of', 'milk', 'he', 'set', 'the', 'bowl', 'on', 'top', 'of', 'the', 'plate', 'picked', 'it', 'up', 'as', 'well', 'as', 'the', 'glass', 'of', 'milk', 'and', 'left', 'the', 'kitchen']",140,0.08371733228156275,0.7,1.0,2.4843644972480945,-0.7177817359160067
3,e152005,2.4.1,"This actor was in the bathroom in the video. He first walked in from behind the camera, then put shaving cream on his face. He took a razor and shaved, then washed his face. He then put some kind of gel on the part of his face that he had shaved. He brushed his teeth, combed his hair, and then left the room. ","['this', 'actor', 'was', 'in', 'the', 'bathroom', 'in', 'the', 'video', 'he', 'first', 'walked', 'in', 'from', 'behind', 'the', 'camera', 'then', 'put', 'shaving', 'cream', 'on', 'his', 'face', 'he', 'took', 'a', 'razor', 'and', 'shaved', 'then', 'washed', 'his', 'face', 'he', 'then', 'put', 'some', 'kind', 'of', 'gel', 'on', 'the', 'part', 'of', 'his', 'face', 'that', 'he', 'had', 'shaved', 'he', 'brushed', 'his', 'teeth', 'combed', 'his', 'hair', 'and', 'then', 'left', 'the', 'room']",63,-0.6751380854441116,0.65,0.8571428571428571,1.452890990285709,-0.3411250287352867
4,e152006,1.2.3," This lady came in from the left side of the room with  a gym outfit  where the shirt said inspire. she brought a small blue sports drink with her. She set down her stuff by the window. On the left side of the room was a table with a cloth and a cleaning spray and a bike helmet. She put down the bike helmet underneath the table and grabbed the cloth and spray. She sprayed the table and used the cloth to clean the table. She left the table clear and put the spray and cloth next to her stuff at the window. The first exercise she did was some curls using the small dumbells  on the right side of the room next to a different window. She did about 20 reps with both arms. She put the bumbells away and did some jumping jacks. I believe she did 2 sets of 25.  afterwards, she took a step stool thing that was below the right window and pt in the center of the room. She started stepping, starting with her left foot about 20 times, then switched  the order of her foot. for another 20 steps. She takes a quick break and then starts stepping again, but this time starting with her right foot.  Does about 20 steps, alternating right and left, then after that set, she started one more time but starting with her right foot.  She puts the step stool thing back to where it was and takes a drink of her sports drink. She then goes and does 2 sets of 10 push ups in the center of the room. I believe she done with her exercises after that. She grabs her drink and walks out to the left of the room.
","['this', 'lady', 'came', 'in', 'from', 'the', 'left', 'side', 'of', 'the', 'room', 'with', 'a', 'gym', 'outfit', 'where', 'the', 'shirt', 'said', 'inspire', 'she', 'brought', 'a', 'small', 'blue', 'sports', 'drink', 'with', 'her', 'she', 'set', 'down', 'her', 'stuff', 'by', 'the', 'window', 'on', 'the', 'left', 'side', 'of', 'the', 'room', 'was', 'a', 'table', 'with', 'a', 'cloth', 'and', 'a', 'cleaning', 'spray', 'and', 'a', 'bike', 'helmet', 'she', 'put', 'down', 'the', 'bike', 'helmet', 'underneath', 'the', 'table', 'and', 'grabbed', 'the', 'cloth', 'and', 'spray', 'she', 'sprayed', 'the', 'table', 'and', 'used', 'the', 'cloth', 'to', 'clean', 'the', 'table', 'she', 'left', 'the', 'table', 'clear', 'and', 'put', 'the', 'spray', 'and', 'cloth', 'next', 'to', 'her', 'stuff', 'at', 'the', 'window', 'the', 'first', 'exercise', 'she', 'did', 'was', 'some', 'curls', 'using', 'the', 'small', 'dumbells', 'on', 'the', 'right', 'side', 'of', 'the', 'room', 'next', 'to', 'a', 'different', 'window', 'she', 'did', 'about', 'reps', 'with', 'both', 'arms', 'she', 'put', 'the', 'bumbells', 'away', 'and', 'did', 'some', 'jumping', 'jacks', 'i', 'believe', 'she', 'did', 'sets', 'of', 'afterwards', 'she', 'took', 'a', 'step', 'stool', 'thing', 'that', 'was', 'below', 'the', 'right', 'window', 'and', 'pt', 'in', 'the', 'center', 'of', 'the', 'room', 'she', 'started', 'stepping', 'starting', 'with', 'her', 'left', 'foot', 'about', 'times', 'then', 'switched', 'the', 'order', 'of', 'her', 'foot', 'for', 'another', 'steps', 'she', 'takes', 'a', 'quick', 'break', 'and', 'then', 'starts', 'stepping', 'again', 'but', 'this', 'time', 'starting', 'with', 'her', 'right', 'foot', 'does', 'about', 'steps', 'alternating', 'right', 'and', 'left', 'then', 'after', 'that', 'set', 'she', 'started', 'one', 'more', 'time', 'but', 'starting', 'with', 'her', 'right', 'foot', 'she', 'puts', 'the', 'step', 'stool', 'thing', 'back', 'to', 'where', 'it', 'was', 'and', 'takes', 'a', 'drink', 'of', 'her', 'sports', 'drink', 'she', 'then', 'goes', 'and', 'does', 'sets', 'of', 'push', 'ups', 'in', 'the', 'center', 'of', 'the', 'room', 'i', 'believe', 'she', 'done', 'with', 'her', 'exercises', 'after', 'that', 'she', 'grabs', 'her', 'drink', 'and', 'walks', 'out', 'to', 'the', 'left', 'of', 'the', 'room']",287,1.532441311576032,0.9,0.9473684210526315,2.9014078241828702,-0.16915234654683464
5,e152006,6.3.9,"So this guy walks from the left side of the room into is kinda messy bedroom. His bed is messy. This first thing he does is take the laundry that he had in a basket  and moves it to the top of his bed.  It was under his bed. He dumps the basket to the side and the clothes somewhat falls out. He first folds his socks. There were about 4 pairs of black socks. He curls the opening out and covers half the sock.  After folding the socks, he moves on to his shirts. He folds the shirts against his body by first folding them in half hotdog style. Then he folds the sleeps in so his shirts look like a rectangle. Then folds the shirts tri-fold style.  There were about 4 shirts as well. After the shirts, he folds his black pants. The folds the pants hot dog style and then tri-fold style, just like the shirts. He puts all his laundry in the basket and puts the basket where he found it originally , which was under the bed. His next task was to clean his nightstand next to his bed. He takes out a few things from the bottom drawer of the night stand and puts them on top of the night stand. He cleans the drawer using the hose option of a vacuum he had in his room. His takes the hose and sucks out whatever debris was in the drawer. In the top drawer, there was this tray sitting in the drawer, which he takes out before vacuuming the top drawer. He vacuums the drawer and then puts back the tray. He sets the vacuum aside and decides to finally clean his bed.  He takes the blanket on top of the bed and folds it in half about 2 or 3 times, and sets it down on a chair in the left of the room. He puts a new blanket on top of the bed to switch things up I guess. After he sets up the bed, I believe his done and walks out to the left of the room.
","['so', 'this', 'guy', 'walks', 'from', 'the', 'left', 'side', 'of', 'the', 'room', 'into', 'is', 'kinda', 'messy', 'bedroom', 'his', 'bed', 'is', 'messy', 'this', 'first', 'thing', 'he', 'does', 'is', 'take', 'the', 'laundry', 'that', 'he', 'had', 'in', 'a', 'basket', 'and', 'moves', 'it', 'to', 'the', 'top', 'of', 'his', 'bed', 'it', 'was', 'under', 'his', 'bed', 'he', 'dumps', 'the', 'basket', 'to', 'the', 'side', 'and', 'the', 'clothes', 'somewhat', 'falls', 'out', 'he', 'first', 'folds', 'his', 'socks', 'there', 'were', 'about', 'pairs', 'of', 'black', 'socks', 'he', 'curls', 'the', 'opening', 'out', 'and', 'covers', 'half', 'the', 'sock', 'after', 'folding', 'the', 'socks', 'he', 'moves', 'on', 'to', 'his', 'shirts', 'he', 'folds', 'the', 'shirts', 'against', 'his', 'body', 'by', 'first', 'folding', 'them', 'in', 'half', 'hotdog', 'style', 'then', 'he', 'folds', 'the', 'sleeps', 'in', 'so', 'his', 'shirts', 'look', 'like', 'a', 'rectangle', 'then', 'folds', 'the', 'shirts', 'trifold', 'style', 'there', 'were', 'about', 'shirts', 'as', 'well', 'after', 'the', 'shirts', 'he', 'folds', 'his', 'black', 'pants', 'the', 'folds', 'the', 'pants', 'hot', 'dog', 'style', 'and', 'then', 'trifold', 'style', 'just', 'like', 'the', 'shirts', 'he', 'puts', 'all', 'his', 'laundry', 'in', 'the', 'basket', 'and', 'puts', 'the', 'basket', 'where', 'he', 'found', 'it', 'originally', 'which', 'was', 'under', 'the', 'bed', 'his', 'next', 'task', 'was', 'to', 'clean', 'his', 'nightstand', 'next', 'to', 'his', 'bed', 'he', 'takes', 'out', 'a', 'few', 'things', 'from', 'the', 'bottom', 'drawer', 'of', 'the', 'night', 'stand', 'and', 'puts', 'them', 'on', 'top', 'of', 'the', 'night', 'stand', 'he', 'cleans', 'the', 'drawer', 'using', 'the', 'hose', 'option', 'of', 'a', 'vacuum', 'he', 'had', 'in', 'his', 'room', 'his', 'takes', 'the', 'hose', 'and', 'sucks', 'out', 'whatever', 'debris', 'was', 'in', 'the', 'drawer', 'in', 'the', 'top', 'drawer', 'there', 'was', 'this', 'tray', 'sitting', 'in', 'the', 'drawer', 'which', 'he', 'takes', 'out', 'before', 'vacuuming', 'the', 'top', 'drawer', 'he', 'vacuums', 'the', 'drawer', 'and', 'then', 'puts', 'back', 'the', 'tray', 'he', 'sets', 'the', 'vacuum', 'aside', 'and', 'decides', 'to', 'finally', 'clean', 'his', 'bed', 'he', 'takes', 'the', 'blanket', 'on', 'top', 'of', 'the', 'bed', 'and', 'folds', 'it', 'in', 'half', 'about', 'or', 'times', 'and', 'sets', 'it', 'down', 'on', 'a', 'chair', 'in', 'the', 'left', 'of', 'the', 'room', 'he', 'puts', 'a', 'new', 'blanket', 'on', 'top', 'of', 'the', 'bed', 'to', 'switch', 'things', 'up', 'i', 'guess', 'after', 'he', 'sets', 'up', 'the', 'bed', 'i', 'believe', 'his', 'done', 'and', 'walks', 'out', 'to', 'the', 'left', 'of', 'the', 'room']",351,2.1631782821532157,1.0,0.8571428571428571,3.0275345084181953,0.4461967303309564
6,e152006,3.1.3,"This guy with the hoodie and glasses walks in from the right side of the room into his kitchen. There's a frooty tooties bag next to the sink on the left, which was next to the fridge.  He decided he wanted a big breakfast so he started preparing a bunch of food. He first made some yogurt. He has a big tub from  the fridge and put the yogurt into a bowl. He then put some granola in it and mixed them together. He grabbed a big red plate to put all his food on. After that, he grabbed another bowl and some milk in the fridge. He decides to put the frooty tooties in the bowl and then pours milk into it. He places the bowl of cereal on the plate. He also pours himself a glass of milk.  This is when he decides to toast himself some bagels. He grabs some bagels, put  it in the toaster and fiddles with some settings on the side. While it is toasting, he grabs some cream cheese from the fridge. He stands there waiting about a minute for his bagels to finish.  He doeesn't let it finish and takes the bagels out even though they didn't look toasted at all. It might have been though because I did hear some scraping when he applied the cream cheese onto the bagel  using a butter knife. He's not done yet though. He has a tea kettle on his stove which is on the left side of the kitchen. There's some water it in apparently, and he decides to boils the water on the stove top closest to himself. He prepares a mug with his tea bag and waits another minute. The kettle starts to make that hissing noise, signifying that the water is steaming. He pours the hot water into his mug and mixes the tea together. He places as much as he could on his large red plate. He carries his plate and another bowl to get ready to eat. He leaves to the left side of the kitchen.
","['this', 'guy', 'with', 'the', 'hoodie', 'and', 'glasses', 'walks', 'in', 'from', 'the', 'right', 'side', 'of', 'the', 'room', 'into', 'his', 'kitchen', 'theres', 'a', 'frooty', 'tooties', 'bag', 'next', 'to', 'the', 'sink', 'on', 'the', 'left', 'which', 'was', 'next', 'to', 'the', 'fridge', 'he', 'decided', 'he', 'wanted', 'a', 'big', 'breakfast', 'so', 'he', 'started', 'preparing', 'a', 'bunch', 'of', 'food', 'he', 'first', 'made', 'some', 'yogurt', 'he', 'has', 'a', 'big', 'tub', 'from', 'the', 'fridge', 'and', 'put', 'the', 'yogurt', 'into', 'a', 'bowl', 'he', 'then', 'put', 'some', 'granola', 'in', 'it', 'and', 'mixed', 'them', 'together', 'he', 'grabbed', 'a', 'big', 'red', 'plate', 'to', 'put', 'all', 'his', 'food', 'on', 'after', 'that', 'he', 'grabbed', 'another', 'bowl', 'and', 'some', 'milk', 'in', 'the', 'fridge', 'he', 'decides', 'to', 'put', 'the', 'frooty', 'tooties', 'in', 'the', 'bowl', 'and', 'then', 'pours', 'milk', 'into', 'it', 'he', 'places', 'the', 'bowl', 'of', 'cereal', 'on', 'the', 'plate', 'he', 'also', 'pours', 'himself', 'a', 'glass', 'of', 'milk', 'this', 'is', 'when', 'he', 'decides', 'to', 'toast', 'himself', 'some', 'bagels', 'he', 'grabs', 'some', 'bagels', 'put', 'it', 'in', 'the', 'toaster', 'and', 'fiddles', 'with', 'some', 'settings', 'on', 'the', 'side', 'while', 'it', 'is', 'toasting', 'he', 'grabs', 'some', 'cream', 'cheese', 'from', 'the', 'fridge', 'he', 'stands', 'there', 'waiting', 'about', 'a', 'minute', 'for', 'his', 'bagels', 'to', 'finish', 'he', 'doeesnt', 'let', 'it', 'finish', 'and', 'takes', 'the', 'bagels', 'out', 'even', 'though', 'they', 'didnt', 'look', 'toasted', 'at', 'all', 'it', 'might', 'have', 'been', 'though', 'because', 'i', 'did', 'hear', 'some', 'scraping', 'when', 'he', 'applied', 'the', 'cream', 'cheese', 'onto', 'the', 'bagel', 'using', 'a', 'butter', 'knife', 'hes', 'not', 'done', 'yet', 'though', 'he', 'has', 'a', 'tea', 'kettle', 'on', 'his', 'stove', 'which', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'kitchen', 'theres', 'some', 'water', 'it', 'in', 'apparently', 'and', 'he', 'decides', 'to', 'boils', 'the', 'water', 'on', 'the', 'stove', 'top', 'closest', 'to', 'himself', 'he', 'prepares', 'a', 'mug', 'with', 'his', 'tea', 'bag', 'and', 'waits', 'another', 'minute', 'the', 'kettle', 'starts', 'to', 'make', 'that', 'hissing', 'noise', 'signifying', 'that', 'the', 'water', 'is', 'steaming', 'he', 'pours', 'the', 'hot', 'water', 'into', 'his', 'mug', 'and', 'mixes', 'the', 'tea', 'together', 'he', 'places', 'as', 'much', 'as', 'he', 'could', 'on', 'his', 'large', 'red', 'plate', 'he', 'carries', 'his', 'plate', 'and', 'another', 'bowl', 'to', 'get', 'ready', 'to', 'eat', 'he', 'leaves', 'to', 'the', 'left', 'side', 'of', 'the', 'kitchen']",347,2.123757221492142,0.9,1.0,3.2415155500846544,-0.33920620949772684
7,e152006,2.4.1,"This guys in preparing for the day and comes into his bathroom from the left
 side of the screen. His vanity area is quite messy with a bunch of random stuff next to the 2 sinks. The first thing he does is shave.  He grabs some shaving cream and spreads it along his jawline, up to his nose. He takes a shaver and proceeds to shave starting from his right side in a downward motion. He rinses his blade after a few strokes using the running water. He takes his time and manages to removes some hair even though he orginally  looked like he was clean shaven. I did hear some blades cutting hair so he migh have had a five o'clock shadow for all I know. Anyways, after shaving, he applies some aftershave over the areas she had shaved. He proceeds to to comb his hair. It doesn't really do much to change his hair, but he combs it regardless. He holds his hair while he combs it to makes sure he doesn't shape as much. After that, he decides to floss. He takes some floss, and wraps both ends around his index fingers. He takes his time going in between every single gap in his teeth, starting with the top of his teeth. He looks at the floss often to make sure there wasn't any plaque. If there were, he just wipes them off using his fingers.  He throws the floss away then he does his last task which is to brush his teeth. He takes a manual tooth brush, put toothpaste on it and proceeds to brush his teeth. After brushing, he takes a swig of mouthwash and swishes it around in his mouth for a few seconds.  He spits it out and cleans the sink with the running water. He grabs some of the water to makes sure he gets all the gunk from his mouth into the sink. He then takes a cloth and dabs his face with it, before leaving to the left side of the screen.","['this', 'guys', 'in', 'preparing', 'for', 'the', 'day', 'and', 'comes', 'into', 'his', 'bathroom', 'from', 'the', 'left', 'side', 'of', 'the', 'screen', 'his', 'vanity', 'area', 'is', 'quite', 'messy', 'with', 'a', 'bunch', 'of', 'random', 'stuff', 'next', 'to', 'the', 'sinks', 'the', 'first', 'thing', 'he', 'does', 'is', 'shave', 'he', 'grabs', 'some', 'shaving', 'cream', 'and', 'spreads', 'it', 'along', 'his', 'jawline', 'up', 'to', 'his', 'nose', 'he', 'takes', 'a', 'shaver', 'and', 'proceeds', 'to', 'shave', 'starting', 'from', 'his', 'right', 'side', 'in', 'a', 'downward', 'motion', 'he', 'rinses', 'his', 'blade', 'after', 'a', 'few', 'strokes', 'using', 'the', 'running', 'water', 'he', 'takes', 'his', 'time', 'and', 'manages', 'to', 'removes', 'some', 'hair', 'even', 'though', 'he', 'orginally', 'looked', 'like', 'he', 'was', 'clean', 'shaven', 'i', 'did', 'hear', 'some', 'blades', 'cutting', 'hair', 'so', 'he', 'migh', 'have', 'had', 'a', 'five', 'oclock', 'shadow', 'for', 'all', 'i', 'know', 'anyways', 'after', 'shaving', 'he', 'applies', 'some', 'aftershave', 'over', 'the', 'areas', 'she', 'had', 'shaved', 'he', 'proceeds', 'to', 'to', 'comb', 'his', 'hair', 'it', 'doesnt', 'really', 'do', 'much', 'to', 'change', 'his', 'hair', 'but', 'he', 'combs', 'it', 'regardless', 'he', 'holds', 'his', 'hair', 'while', 'he', 'combs', 'it', 'to', 'makes', 'sure', 'he', 'doesnt', 'shape', 'as', 'much', 'after', 'that', 'he', 'decides', 'to', 'floss', 'he', 'takes', 'some', 'floss', 'and', 'wraps', 'both', 'ends', 'around', 'his', 'index', 'fingers', 'he', 'takes', 'his', 'time', 'going', 'in', 'between', 'every', 'single', 'gap', 'in', 'his', 'teeth', 'starting', 'with', 'the', 'top', 'of', 'his', 'teeth', 'he', 'looks', 'at', 'the', 'floss', 'often', 'to', 'make', 'sure', 'there', 'wasnt', 'any', 'plaque', 'if', 'there', 'were', 'he', 'just', 'wipes', 'them', 'off', 'using', 'his', 'fingers', 'he', 'throws', 'the', 'floss', 'away', 'then', 'he', 'does', 'his', 'last', 'task', 'which', 'is', 'to', 'brush', 'his', 'teeth', 'he', 'takes', 'a', 'manual', 'tooth', 'brush', 'put', 'toothpaste', 'on', 'it', 'and', 'proceeds', 'to', 'brush', 'his', 'teeth', 'after', 'brushing', 'he', 'takes', 'a', 'swig', 'of', 'mouthwash', 'and', 'swishes', 'it', 'around', 'in', 'his', 'mouth', 'for', 'a', 'few', 'seconds', 'he', 'spits', 'it', 'out', 'and', 'cleans', 'the', 'sink', 'with', 'the', 'running', 'water', 'he', 'grabs', 'some', 'of', 'the', 'water', 'to', 'makes', 'sure', 'he', 'gets', 'all', 'the', 'gunk', 'from', 'his', 'mouth', 'into', 'the', 'sink', 'he', 'then', 'takes', 'a', 'cloth', 'and', 'dabs', 'his', 'face', 'with', 'it', 'before', 'leaving', 'to', 'the', 'left', 'side', 'of', 'the', 'screen']",342,2.074480895665799,0.8,0.9523809523809523,2.5100124275199933,-0.41338498018708236
8,e152007,1.2.3,"She begins by eating some sort of granola  bar as she stands by a window in the room. She  reads the nutrition facts label/ingredients on the package as she chews. She also has a sip of a drink. She clears off a desk that is on the left side of the room.  She then begins working out.  She grabs weights and starts doing bicep curls. She  does both arms at once. She does 2 sets. She then moves onto pushups on the ground. Taking a break in between sets and kneeling on her knees. She  does more pushups. Then she move s onto doing step ups on some sort of equipment. She alternates legs as she steps up. She finishes her workout by doing jumping jacks.  Then, she walks out of the room.","['she', 'begins', 'by', 'eating', 'some', 'sort', 'of', 'granola', 'bar', 'as', 'she', 'stands', 'by', 'a', 'window', 'in', 'the', 'room', 'she', 'reads', 'the', 'nutrition', 'facts', 'labelingredients', 'on', 'the', 'package', 'as', 'she', 'chews', 'she', 'also', 'has', 'a', 'sip', 'of', 'a', 'drink', 'she', 'clears', 'off', 'a', 'desk', 'that', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'room', 'she', 'then', 'begins', 'working', 'out', 'she', 'grabs', 'weights', 'and', 'starts', 'doing', 'bicep', 'curls', 'she', 'does', 'both', 'arms', 'at', 'once', 'she', 'does', 'sets', 'she', 'then', 'moves', 'onto', 'pushups', 'on', 'the', 'ground', 'taking', 'a', 'break', 'in', 'between', 'sets', 'and', 'kneeling', 'on', 'her', 'knees', 'she', 'does', 'more', 'pushups', 'then', 'she', 'move', 's', 'onto', 'doing', 'step', 'ups', 'on', 'some', 'sort', 'of', 'equipment', 'she', 'alternates', 'legs', 'as', 'she', 'steps', 'up', 'she', 'finishes', 'her', 'workout', 'by', 'doing', 'jumping', 'jacks', 'then', 'she', 'walks', 'out', 'of', 'the', 'room']",132,0.004875210959414771,0.55,1.0,2.085625331395128,-0.9171513188424899
9,e152007,6.3.9,"
This actor is cleaning his room. He moves his comforter on his bed, and dumps a pile of laundry onto his bed. He begins folding his laundry.  He does one piece of clothing at a time. He folds all his shirts first, then moves onto folding his pants. As he's finished folding each item, he is placing them on a pile on his bed. Once he folds all his laundry, he begins dusting. He dusts the white night stand that is to the right of his bed. He weaves the duster in between objects. Then, he grabs a vacuum and begins vacuuming. He even opens the drawers of the nightstand and vacuums inside of the drawer. He vacuums the floor as well. Then, he makes his bed. He organizes the piles of laundry nicely, then at the end he folds the yellow comforter up and puts it  up top on the bed, on top of one of his pillows.  He fluffs the pillows and makes sure the bed looks neat. Then, he walks out of the room.
","['this', 'actor', 'is', 'cleaning', 'his', 'room', 'he', 'moves', 'his', 'comforter', 'on', 'his', 'bed', 'and', 'dumps', 'a', 'pile', 'of', 'laundry', 'onto', 'his', 'bed', 'he', 'begins', 'folding', 'his', 'laundry', 'he', 'does', 'one', 'piece', 'of', 'clothing', 'at', 'a', 'time', 'he', 'folds', 'all', 'his', 'shirts', 'first', 'then', 'moves', 'onto', 'folding', 'his', 'pants', 'as', 'hes', 'finished', 'folding', 'each', 'item', 'he', 'is', 'placing', 'them', 'on', 'a', 'pile', 'on', 'his', 'bed', 'once', 'he', 'folds', 'all', 'his', 'laundry', 'he', 'begins', 'dusting', 'he', 'dusts', 'the', 'white', 'night', 'stand', 'that', 'is', 'to', 'the', 'right', 'of', 'his', 'bed', 'he', 'weaves', 'the', 'duster', 'in', 'between', 'objects', 'then', 'he', 'grabs', 'a', 'vacuum', 'and', 'begins', 'vacuuming', 'he', 'even', 'opens', 'the', 'drawers', 'of', 'the', 'nightstand', 'and', 'vacuums', 'inside', 'of', 'the', 'drawer', 'he', 'vacuums', 'the', 'floor', 'as', 'well', 'then', 'he', 'makes', 'his', 'bed', 'he', 'organizes', 'the', 'piles', 'of', 'laundry', 'nicely', 'then', 'at', 'the', 'end', 'he', 'folds', 'the', 'yellow', 'comforter', 'up', 'and', 'puts', 'it', 'up', 'top', 'on', 'the', 'bed', 'on', 'top', 'of', 'one', 'of', 'his', 'pillows', 'he', 'fluffs', 'the', 'pillows', 'and', 'makes', 'sure', 'the', 'bed', 'looks', 'neat', 'then', 'he', 'walks', 'out', 'of', 'the', 'room']",177,0.4483621433964972,0.8,0.7619047619047619,1.554064265962403,0.06458910059171269
